run_dir,method,scheme,tp,fp,fn,tn,tol_pred_match,tol_pred_total,tol_gt_match,tol_gt_total,valid_pixels,fault_pixels,stem,dice,iou,precision,recall,specificity,tolerant_precision,tolerant_recall,tolerant_f1
CRACKS35,slog,primary,258,1797,2870,59596,258,2055,549,3128,64521,3128,section_043,0.09955624155875062,0.05238578680192409,0.12554744525486353,0.08248081841405856,0.9707295620020245,0.12554744525486353,0.17551150895084555,0.14638342770985271
CRACKS35,slog,primary,350,1481,1957,64200,350,1831,670,2307,67988,2307,section_046,0.16916384726880337,0.09239704329437065,0.19115237574991178,0.15171218032010528,0.9774516222345918,0.19115237574991178,0.29042045946991585,0.23055519573041616
CRACKS35,slog,primary,489,2731,2158,67687,489,3220,767,2647,73065,2647,section_051,0.16669507414323045,0.0909259947934345,0.15186335403679546,0.18473743860904898,0.9612173023941377,0.15186335403679546,0.2897619947098989,0.19928306886143823
CRACKS35,slog,primary,302,2246,3168,59887,302,2548,716,3470,65603,3470,section_067,0.1003655699566295,0.05283414975498105,0.11852433280958194,0.08703170028793362,0.9638517374018696,0.11852433280958194,0.20634005763629298,0.15056323579725034
CRACKS35,slog,primary,265,2357,2135,63285,265,2622,400,2400,68042,2400,section_068,0.10553564316984163,0.05570737859984085,0.10106788710869158,0.1104166666662066,0.964093111117735,0.10106788710869158,0.16666666666597224,0.12583095446395592
CRACKS35,slog,primary,862,1523,1521,62643,862,2385,1144,2383,66549,2383,section_106,0.3615771812072954,0.22068612391136538,0.36142557651840074,0.3617289131331862,0.9762646884641436,0.36142557651840074,0.4800671422556439,0.4123827520412888
CRACKS35,slog,primary,793,1955,1582,73308,793,2748,1206,2375,77638,2375,section_108,0.309584227990807,0.18314087759772948,0.28857350800477233,0.3338947368406994,0.9740244210301245,0.28857350800477233,0.5077894736820725,0.3680095415733601
CRACKS35,slog,primary,744,1876,1580,57224,744,2620,1217,2324,61424,2324,section_116,0.300970873785799,0.17714285714243538,0.28396946564777115,0.32013769363029204,0.9682571912011898,0.28396946564777115,0.5236660929409481,0.3682482207913352
CRACKS35,slog,primary,962,3286,1402,69684,962,4248,1132,2364,75334,2364,section_124,0.2909860859039761,0.17026548672536237,0.22645951035728235,0.40693739424531755,0.9549677949841092,0.22645951035728235,0.47884940778139234,0.3074964688373482
CRACKS35,slog,primary,887,1808,1856,79766,887,2695,1211,2743,84317,2743,section_131,0.32622287605677414,0.19490221929203494,0.32912801484107934,0.3233685745522298,0.9778360752199258,0.32912801484107934,0.44148742252846707,0.3771164449144975
CRACKS35,slog,primary,701,1943,2331,77241,701,2644,1206,3032,82216,3032,section_133,0.2470049330510095,0.1409045226127821,0.26512859303984443,0.23120052770372296,0.9754622145886827,0.26512859303984443,0.3977572559353636,0.31817490208816274
CRACKS35,slog,primary,318,2004,1492,74010,318,2322,523,1810,77824,1810,section_136,0.15392061955432257,0.08337703198719618,0.13695090439217505,0.17569060773383596,0.9736364353933521,0.13695090439217505,0.28895027624149755,0.1858271473567149
